IdAlumno,Genero,FechaNacimiento,Distrito,Provincia,Departamento,FamiliarResponsable,AnioNacimiento
100161932,M,2004-08-14,CARABAYLLO,LIMA ,LIMA,,2004
100161933,M,1996-10-11,SANTA ANITA,LIMA ,LIMA,,1996
100161934,F,2005-12-22,BREÑA,LIMA ,LIMA,,2005
100161935,M,2006-12-18,LIMA,LIMA ,LIMA,Apoderado,2006
100161936,F,2006-05-17,VILCABAMBA,LA CONVENCIÓN,CUSCO,Padre,2006
100161938,M,2007-02-11,LURIN,LIMA ,LIMA,Madre,2007
100161939,M,1993-02-18,CHACLACAYO,LIMA ,LIMA,,1993
100161940,F,2006-09-23,RÍO NEGRO,SATIPO ,JUNÍN,Madre,2006
100161941,M,2006-03-13,CHINCHAYPUJIO,ANTA,CUSCO,Padre,2006
100161943,F,2005-12-09,SAN ANTONIO,HUAROCHIRÍ ,LIMA,,2005
100161945,M,2007-03-14,COMAS,LIMA ,LIMA,Padre,2007
100161946,M,2005-07-10,ASIA,CAÑETE ,LIMA,,2005
100161947,F,2005-12-10,VILLA EL SALVADOR,LIMA ,LIMA,,2005
100161948,M,2007-01-20,SAN MARTÍN DE PORRES,LIMA ,LIMA,Madre,2007
100161949,F,2006-11-04,LURIN,LIMA ,LIMA,Padre,2006
100161950,M,2006-08-18,SANTIAGO DE SURCO,LIMA ,LIMA,Madre,2006
100161951,F,1999-06-05,AYACUCHO,HUAMANGA,AYACUCHO,,1999
100161953,F,2006-10-15,PUENTE PIEDRA,LIMA ,LIMA,Padre,2006
100161954,M,2006-07-18,CALLAO,PROV. CONST. DEL CALLAO,CALLAO,Apoderado,2006
100161955,M,2007-03-02,ATE,LIMA ,LIMA,Madre,2007
100161956,M,2005-09-26,HUANTA,HUANTA,AYACUCHO,,2005
100161958,M,2007-01-21,POMABAMBA,POMABAMBA,ÁNCASH,Madre,2007
100161959,F,1985-10-20,LOS OLIVOS,LIMA ,LIMA,,1985
100161960,M,2000-01-22,JESÚS NAZARENO,HUAMANGA,AYACUCHO,,2000
100161961,M,2005-11-18,SAN JUAN DE MIRAFLORES,LIMA ,LIMA,,2005
100161962,M,2002-02-01,VILLA EL SALVADOR,LIMA ,LIMA,,2002
100161963,M,2005-03-14,LLOCHEGUA,HUANTA,AYACUCHO,,2005
100161964,F,2007-03-11,ABANCAY,ABANCAY,APURÍMAC,Madre,2007
100161965,F,2005-09-14,SAN PABLO,SAN PABLO,CAJAMARCA,,2005
100161966,F,2006-02-21,ATE,LIMA ,LIMA,Padre,2006
100161967,M,2002-08-19,ANCÓN,LIMA ,LIMA,,2002
100161968,F,2005-09-17,UCHIZA,TOCACHE ,SAN MARTÍN,,2005
100161969,F,2004-01-17,AYAPATA,CARABAYA ,PUNO,,2004
100161970,F,2006-09-25,VILLA EL SALVADOR,LIMA ,LIMA,Apoderado,2006
100161971,M,2006-02-20,VENTANILLA,PROV. CONST. DEL CALLAO,CALLAO,Madre,2006
100161973,F,2005-02-01,PICHANAQUI,CHANCHAMAYO ,JUNÍN,,2005
100161974,F,2007-02-17,ATE,LIMA ,LIMA,Madre,2007
100161975,F,2006-06-28,INDEPENDENCIA,HUARAZ,ÁNCASH,Apoderado,2006
100161976,F,2007-01-05,CHORRILLOS,LIMA ,LIMA,Madre,2007
100161977,F,2000-06-14,SAN MARTÍN DE PORRES,LIMA ,LIMA,,2000
100161978,F,2004-06-02,VILLA MARÍA DEL TRIUNFO,LIMA ,LIMA,,2004
100161979,F,1999-04-05,INDEPENDENCIA,LIMA ,LIMA,,1999
100161980,F,2006-12-07,ATE,LIMA ,LIMA,Madre,2006
100161981,F,2006-05-07,COMAS,LIMA ,LIMA,Madre,2006
100161982,F,2007-06-15,COMAS,LIMA ,LIMA,Madre,2007
100161983,F,2006-12-22,YAULI,HUANCAVELICA,HUANCAVELICA,Padre,2006
100161984,F,2006-05-16,SAN JUAN DE LURIGANCHO,LIMA ,LIMA,Madre,2006
100161985,F,2006-03-02,HUANCANE,HUANCANÉ ,PUNO,Madre,2006
