,IdAlumno,CantParcialesDesaprobados,CantFinalesDesaprobados,ExcedeNotasDesaprobadasNoParcNoFin,CantCursosDesaprobados,CantCursos,ExcedeMitadCursosDesaprobados,ProgramaAlu
2353,100064065,1,0,SI,1,6,NO,Derecho
2354,100064066,2,0,NO,0,4,NO,Medicina Humana
2355,100064071,1,0,NO,0,7,NO,Ingeniería Ambiental
2356,100064076,2,2,SI,0,4,NO,Medicina Humana
2357,100064083,1,1,NO,1,3,NO,Medicina Humana
2358,100064092,0,2,NO,0,5,NO,Medic Veterinaria y Zootecnia
2359,100064095,2,2,NO,0,5,NO,Medic Veterinaria y Zootecnia
2360,100064101,1,0,NO,0,7,NO,Farmacia y Bioquímica
2361,100064103,1,1,NO,0,4,NO,Medicina Humana
2362,100064113,0,1,NO,0,4,NO,Medicina Humana
2363,100064127,2,3,NO,0,5,NO,Medicina Humana
2364,100064130,1,0,NO,0,1,NO,Ingeniería Ambiental
2365,100064133,3,1,NO,0,3,NO,Medicina Humana
2366,100064134,2,3,SI,0,4,NO,Medicina Humana
2367,100064141,3,2,NO,0,3,NO,Medicina Humana
2368,100064166,0,1,NO,0,5,NO,Medicina Humana
2369,100064170,0,0,NO,0,3,NO,Obstetricia
2370,100064175,0,0,NO,0,6,NO,Artes Escénicas
2371,100064177,2,2,SI,1,6,NO,Farmacia y Bioquímica
2372,100064178,1,1,NO,0,4,NO,Medicina Humana
2373,100064187,1,3,NO,0,4,NO,Medicina Humana
2374,100064190,1,0,NO,0,5,NO,Artes Escénicas
2375,100064194,1,0,NO,0,4,NO,Medicina Humana
2376,100064207,0,0,NO,0,3,NO,Medicina Humana
2377,100064212,1,2,NO,0,4,NO,Medicina Humana
2378,100064218,0,0,NO,0,5,NO,Turismo Sostenible y Hotelería
