IdAlumno,Prediccion,Prediccion_Probabilidad,Edad,Genero,Distrito,Provincia,Departamento,FamiliarResponsable,CantParcialesDesaprobados,CantFinalesDesaprobados,ExcedeNotasDesaprobadasNoParcNoFin,ExcedeMitadCursosDesaprobados,GrupoEdad,ExcedePagosAtrasados,TipoColegio,Desercion
100140574,0,0.15916851498761814,25.0,F,VILLA EL SALVADOR,LIMA ,LIMA,Alumno,0,0,NO,NO,Mayor25,0.0,PRIV,0
100140575,0,0.18435957632777503,18.0,F,ATE,LIMA ,LIMA,Apoderado,0,1,NO,NO,MenosDe18,1.0,PRIV,0
100140582,1,0.8240982515951888,17.0,F,SANTIAGO DE SURCO,LIMA ,LIMA,Padre,4,3,SI,NO,MenosDe18,1.0,PUBL,1
100140588,0,0.19592997902774206,18.0,F,PACHACAMAC,LIMA ,LIMA,Apoderado,1,2,NO,NO,MenosDe18,1.0,PRIV,0
100140595,1,0.9380541415265043,20.0,M,VILLA MARÍA DEL TRIUNFO,LIMA ,LIMA,Alumno,3,6,SI,NO,Entre18y25,0.0,PRIV,1
100140604,0,0.24698931705397845,32.0,F,SAN MIGUEL,LIMA ,LIMA,Alumno,0,1,NO,NO,Mayor25,1.0,PRIV,0
100140608,0,0.10545563892681498,18.0,F,BAGUA GRANDE,UTCUBAMBA,AMAZONAS,Madre,1,0,NO,NO,MenosDe18,1.0,PRIV,0
100140614,1,0.4326667778650992,27.0,F,SAN JUAN DE MIRAFLORES,LIMA ,LIMA,Alumno,2,2,NO,NO,Mayor25,1.0,PRIV,1
100140616,1,0.8425090650452007,32.0,M,CHANCAY,HUARAL ,LIMA,Alumno,0,0,NO,NO,Mayor25,0.0,PUBL,1
100140627,0,0.18692299262388715,20.0,M,VILLA EL SALVADOR,LIMA ,LIMA,Alumno,0,0,NO,NO,Entre18y25,0.0,PUBL,1
100140628,0,0.20959896798028305,18.0,M,LOS OLIVOS,LIMA ,LIMA,Madre,1,0,NO,NO,MenosDe18,0.0,PRIV,0
100140629,0,0.1780944789378656,20.0,F,PUENTE PIEDRA,LIMA ,LIMA,Alumno,1,0,NO,NO,Entre18y25,0.0,PRIV,0
100140636,0,0.20972896668717003,20.0,F,AUCALLAMA,HUARAL ,LIMA,Alumno,1,0,NO,NO,Entre18y25,0.0,PUBL,0
100140648,0,0.09101961513836675,18.0,F,SANTIAGO DE SURCO,LIMA ,LIMA,Padre,0,1,NO,NO,MenosDe18,0.0,PRIV,0
100140650,0,0.3121599322697786,24.0,M,SAN MARTÍN DE PORRES,LIMA ,LIMA,Alumno,0,0,NO,NO,Entre18y25,1.0,PUBL,0
100140652,0,0.05814869109215369,19.0,M,LIMA,LIMA ,LIMA,Alumno,1,0,NO,NO,Entre18y25,0.0,PRIV,0
100140654,0,0.1542874202508548,22.0,F,AUCALLAMA,HUARAL ,LIMA,Alumno,0,0,NO,NO,Entre18y25,0.0,PRIV,0
100140655,0,0.21889949930981917,28.0,F,SAN JUAN DE LURIGANCHO,LIMA ,LIMA,Alumno,0,0,NO,NO,Mayor25,0.0,PRIV,0
100140657,1,0.9338288098231204,19.0,M,LURIN,LIMA ,LIMA,Alumno,4,5,SI,NO,Entre18y25,1.0,PUBL,0
